ts,Source Port,Destination Port,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time,Source IP
1724151435.968272,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9679742,1724151435.9679742,1724151435.9679742,1724151435.9679742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.3303756713867189e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.968398,2461.8,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1724151435.968156,1724151435.968156,1724151435.968156,1724151435.968156,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23405.0,1452.0,1514.0,1510.5340677674578,14.230969440873778,1501.6,172415143.5968596,13.5,546328.0,54.96361327167581,20.219482780844206,409.23100883065314,0.5,244.6,0.0,0.0,0.0,0.0,172415143.5968429,0.0,10.38.1.110
1724151435.9685345,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.968429,1724151435.968429,1724151435.968429,1724151435.968429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.7404556274414062e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9686706,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.968429,1724151435.968429,1724151435.968429,1724151435.968429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172415143.5968807,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9687958,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.968429,1724151435.968429,1724151435.968429,1724151435.968429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8314.6,1501.6,1514.0,1512.76,3.72,1501.6,1.6689300537109375e-05,5.5,546328.0,55.00468535536838,5.260874452027913,138.384,0.1,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9689426,2461.9,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1724151435.9688869,1724151435.9688869,1724151435.9688869,1724151435.9688869,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23343.0,1390.0,1514.0,1505.7072346006248,30.813709467697656,1514.0,172415143.5969074,13.5,546328.0,54.8757541660832,43.67101862808572,960.5962051346266,1.0,244.6,0.0,0.0,0.0,0.0,172415143.59688872,0.0,10.38.1.110
1724151435.9690576,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9688869,1724151435.9688869,1724151435.9688869,1724151435.9688869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,1.201629638671875e-05,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.9691987,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9688869,1724151435.9688869,1724151435.9688869,1724151435.9688869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172415143.59694278,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
1724151435.969331,2462.0,8.0,0.0,151.4,6.0,64.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1724151435.9691594,1724151435.9691594,1724151435.9691594,1724151435.9691594,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8240.2,1427.2,1514.0,1500.414126984127,31.007519343439736,1501.6,1.2803077697753909e-05,5.5,546328.0,54.77949524917797,43.851254391038566,1394.5698349710256,0.7,38.5,0.0,0.0,0.0,0.0,172415143.5969341,0.0,10.38.1.110
1724151435.9694576,0.0,0.0,0.0,0.0,6.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724151435.9693408,1724151435.9693408,1724151435.9693408,1724151435.9693408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23343.0,1390.0,1514.0,1505.7072346006248,30.813709467697656,1514.0,172415143.5969617,13.5,546328.0,54.8757541660832,43.67101862808571,960.5962051346266,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0,10.38.1.110
